Region,POP,GDP
阿里地区,10.7,52.62
塔城地区,15.2,693.27
果洛州,20.84,41.45
林芝市,22.8,150.01
阿拉善盟,24.94,283.3
嘉峪关市,25.2,299.62
黄南州,27.68,88.33
海北州,28.43,83.53
山南市,36.8,164.32
迪庆州,40,217.52
玉树州,41.66,53.6
克拉玛依市,44.28,898.1
金昌市,46.86,264.24
博尔塔拉州,47.54,330.3
海南州,47.63,158.18
那曲地区,50.4,135.67
海西州,51.86,625.27
怒江州,53.4,161.56
哈密市,56.11,536.61
乌海市,56.33,495.9
克孜勒苏州,62.06,128.89
吐鲁番市,66.73,310.59
阿勒泰,67.16,259.21
三亚市,68.54,595.51
拉萨市,68.6,540.78
昌都市,70.5,193.6
甘南州,72.02,155.73
石嘴山市,72.55,605.92
日喀则市,77.7,243.2
铜川市,80.37,327.96
阿坝州,89.87,306.67
锡林郭勒盟,105.48,813.9
鄂州市,107.77,1005.3
中卫市,108.08,402.99
酒泉市,109.59,596.9
鹰潭市,112.49,818.98
舟山市,117.3,1316.7
新余市,118.67,1027.34
甘孜州,119.6,291.2
德宏州,121.1,381.06
张掖市,123.38,407.71
攀枝花市,123.6,1173.52
固原市,124.24,303.19
巴音郭楞州,127.93,1027.5
丽江市,129.6,350.76
莱芜市,137.9,1005.65
盘锦市,139.25,1216.6
黄山市,140.7,677.9
阳泉市,141.44,733.7
吴忠市,141.54,534.53
双鸭山市,146.26,507
池州市,147.4,684.9
海东市,148.02,451.5
张家界市,153.79,578.92
雅安市,154,646.1
兴安盟,160.79,472.48
昌吉,161,1367.3
鹤壁市,162.73,861.9
铜陵市,162.9,1222.4
景德镇市,167.32,846.6
巴彦淖尔市,169,813.1
本溪市,170.95,823.1
白银市,173.42,511.6
朔州市,178.12,1065.6
阜新市,181.93,446
武威市,182.78,469.27
辽阳市,185.88,869.7
鸡西市,186.22,535.2
珠海市,189.11,2914.74
萍乡市,193.3,1009.05
临夏州,194.67,255.35
贺州市,195.41,602.63
银川市,199.31,1901.48
崇左市,199.43,1002
鄂尔多斯市,207.84,3763.2
丽水市,211.7,1394.67
平凉市,211.91,395.17
抚顺市,213.81,1048.8
乌兰察布市,214.36,764.5
东营市,217.21,4152.47
衢州市,220.9,1470.58
随州市,221.67,1011.19
淮北市,225.4,985.2
延安市,225.94,1558.91
庆阳市,226.66,708.15
海口市,230.23,1510.51
马鞍山市,233.7,1918.1
晋城市,234.31,1351.9
安顺市,235.31,849.4
西宁市,237.11,1286.41
商洛市,238.02,824.77
丹东市,238.2,816.7
玉溪市,238.6,1493.04
营口市,242.85,1346.7
黄石市,247.07,1587.33
保山市,250.6,738.14
资阳市,251.2,1066.53
和田地区,252.28,305.57
云浮市,252.69,849.13
呼伦贝尔市,253.01,1252.9
临沧市,253.6,630.02
普洱市,254.3,662.48
咸宁市,254.33,1362.42
阿克苏地区,254.6,1027.43
佳木斯市,255.21,1012
阳江市,255.56,1350.31
三明市,258,2353.72
葫芦岛市,262.35,812.8
陇南市,263.43,379.23
龙岩市,264,2393.3
宣城市,264.8,1317.2
湘西州,264.95,605.05
包头市,265.04,2951.8
潮州市,265.66,1067.28
漯河市,266.53,1236.66
广元市,266.7,801.85
安康市,266.89,1133.77
南平市,269,1792.51
铁岭市,271.77,616.6
楚雄州,274.8,1024.33
黔西南州,280.59,1163.77
定西市,282.17,356.26
威海市,283,3641.48
湘潭市,286.48,2161.36
湖州市,289.35,2719.1
荆门市,289.65,1847.89
莆田市,290,2242.41
大庆市,290.45,2801.2
宁德市,291,1942.8
自贡市,292,1406.71
日照市,293.03,2202.17
六盘水市,293.73,1525.69
眉山市,298.41,1256.02
汕尾市,299.36,920.32
韶关市,299.76,1343.91
朝阳市,304.46,831.4
河源市,309.39,1006
呼和浩特市,312.6,2903.5
锦州市,312.65,1192.4
通辽市,313.32,1301.6
秦皇岛市,313.42,1635.56
铜仁市,316.88,1066.52
忻州市,317.2,989.1
镇江市,319.64,4050
遂宁市,320.18,1221.39
黔南州,323.12,1313.46
广安市,324.1,1250.24
中山市,331,3632.7
巴中市,332.2,645.88
天水市,335.49,652.05
河池市,336.92,788.3
恩施州,337.8,870.95
晋中市,338.16,1447.6
蚌埠市,339.2,1714.66
十堰市,340.6,1747.82
榆林市,341.78,3848.62
汉中市,343.61,1471.88
大理州,345.6,1122.44
大同市,345.6,1271.8
长治市,346.8,1645.6
淮南市,349,1133.3
